ID,Edad,Ocupacion,Estado,familiar,laboral,emocional,social,ansiedad_familiar,resignacion_familiar,proactividad_familiar,evasion_familiar,ansiedad_laboral,resignacion_laboral,proactividad_laboral,evasion_laboral,ansiedad_emocional,resignacion_emocional,proactividad_emocional,evasion_emocional,ansiedad_social,resignacion_social,proactividad_social,evasion_social
6,21,Empleado,Puebla ,"['Habla con mi ', 'Es muy unida ', 'Es muy trabajadora ', 'Quiere lo mejor para mí ', 'Un apoyo y alguien con quién acudir ', 'Unidos ', 'Siguiera conmigo', 'Están peladas ', 'Protectoras ', 'Era una buena persona ', 'Me cuidaba ', 'A veces esconde sus problemas ']","['Con los colaboradores ', 'Siempre con respeto y apoyándolos en dudas y aclaración pasa una mejora continua ', 'Me alagaban ', 'Chismosas y arguenderas ', 'Llegar a las olimpiadaa', 'Lo saludo ', 'Me hacen caso y no dudan de mi decisión ']","['En cumplir con mis metas', 'Mi padre estuviera vivo', 'A fracasar', 'El no decidir por mi mismo', 'A equivocarme ', 'No ayudar a mi madre en el trabajo', 'Tener éxito ', 'Tomar decisiones  incorrectas', 'No hacer lo que me gusta']","['Los respeto ', 'Es irrespetuoso ', 'Soy lindas ', 'Estará lo suficientemente capacitada para realizar su trabajo lo mejor posible con todos los recursos que necesiten para llegar a realizarla ', 'Respetuosa', 'La mejor creación del mundo ', 'Protección (anticonceptivo)', 'Exitosa ', 'Deben de ser mejor que yo en diferentes aspectos ', 'Me buscan ', 'Es que no sean sinceras y hablen con la verdad', 'Es educada ']",0.0,0.57,0.0,0.1,0.0,0.605,0.0,0.114,0.0,0.558,0.0,0.178,0.0,0.529,0.017,0.1
6,21,Empleado,Puebla ,"['Habla con mi ', 'Es muy unida ', 'Es muy trabajadora ', 'Quiere lo mejor para mí ', 'Un apoyo y alguien con quién acudir ', 'Unidos ', 'Siguiera conmigo', 'Están peladas ', 'Protectoras ', 'Era una buena persona ', 'Me cuidaba ', 'A veces esconde sus problemas ']","['Con los colaboradores ', 'Siempre con respeto y apoyándolos en dudas y aclaración pasa una mejora continua ', 'Me alagaban ', 'Chismosas y arguenderas ', 'Llegar a las olimpiadaa', 'Lo saludo ', 'Me hacen caso y no dudan de mi decisión ']","['En cumplir con mis metas', 'Mi padre estuviera vivo', 'A fracasar', 'El no decidir por mi mismo', 'A equivocarme ', 'No ayudar a mi madre en el trabajo', 'Tener éxito ', 'Tomar decisiones  incorrectas', 'No hacer lo que me gusta']","['Los respeto ', 'Es irrespetuoso ', 'Soy lindas ', 'Estará lo suficientemente capacitada para realizar su trabajo lo mejor posible con todos los recursos que necesiten para llegar a realizarla ', 'Respetuosa', 'La mejor creación del mundo ', 'Protección (anticonceptivo)', 'Exitosa ', 'Deben de ser mejor que yo en diferentes aspectos ', 'Me buscan ', 'Es que no sean sinceras y hablen con la verdad', 'Es educada ']",0.0,0.575,0.0,0.1,0.0,0.606,0.0,0.129,0.0,0.56,0.0,0.172,0.0,0.542,0.017,0.1
7,21,Estudiante,Tlaxcala ,"['Me necesita ', 'Es unica ', 'Es extraña', 'Me utilizo como justificación ', 'Alguien externo ', 'Nos llevamos bien ', 'Este tranquilo ', 'Son raras ', 'Han cometido errores ', 'Inexistente ', 'Me adoraba ', 'Desearía que reconociera sus errores ']","['Con los jefes ', 'Serían más eficientes ', 'Me reconocen', 'Inmaduras ', 'Ser una leyenda del boxeo mexicano ', 'No me inmuto ', 'Intento ser asertivo ']","['A morir', 'Fuera campeón del mundo ', 'A estar solo', 'No entrenar boxeo desde más joven ', 'Morir', 'La separación de mis papás ', 'Una familia ', 'Ser explosivo ', 'Intentar morir']","['Son prepotentes', 'Es hipócrita ', 'Merecen respeto ', 'Será reconocida', 'Es unica ', 'Merecen respeto ', 'Solo lo hago con personas con las que tengo un vínculo ', 'Sea autónoma ', 'Les guardo respeto ', 'No lo notan', 'Su complicación ', 'Me deja todo a mi']",0.0,0.586,0.0,0.067,0.0,0.538,0.0,0.114,0.0,0.513,0.0,0.2,0.0,0.631,0.0,0.033
7,21,Estudiante,Tlaxcala ,"['Me necesita ', 'Es unica ', 'Es extraña', 'Me utilizo como justificación ', 'Alguien externo ', 'Nos llevamos bien ', 'Este tranquilo ', 'Son raras ', 'Han cometido errores ', 'Inexistente ', 'Me adoraba ', 'Desearía que reconociera sus errores ']","['Con los jefes ', 'Serían más eficientes ', 'Me reconocen', 'Inmaduras ', 'Ser una leyenda del boxeo mexicano ', 'No me inmuto ', 'Intento ser asertivo ']","['A morir', 'Fuera campeón del mundo ', 'A estar solo', 'No entrenar boxeo desde más joven ', 'Morir', 'La separación de mis papás ', 'Una familia ', 'Ser explosivo ', 'Intentar morir']","['Son prepotentes', 'Es hipócrita ', 'Merecen respeto ', 'Será reconocida', 'Es unica ', 'Merecen respeto ', 'Solo lo hago con personas con las que tengo un vínculo ', 'Sea autónoma ', 'Les guardo respeto ', 'No lo notan', 'Su complicación ', 'Me deja todo a mi']",0.0,0.593,0.0,0.067,0.0,0.542,0.0,0.121,0.0,0.537,0.0,0.2,0.0,0.609,0.0,0.033
8,19,Estudiante,Tlaxcala ,"['Se enoja conmigo ', 'No siempre es unida ', 'Es la persona a la que más confianza le tengo ', 'Quiere lo mejor para mí, aunque a veces le cuesta demostrarlo con palabras.', 'Alguien valioso, aunque a veces no siempre entienden lo que siento o pienso.', 'Tenemos una relación muy linda ', 'Pase más tiempo conmigo ', 'Son muy unidas ', 'Hacen lo mejor que pueden por sus hijos, aunque no siempre se les reconoce todo el esfuerzo que hacen.', 'Un gran ejemplo a seguir ', 'Me consentía mucho', 'A veces se enoja mucho']","['.', 'Me esforzaría por ser un líder justo, que escucha, motiva y respeta a los demás.', 'Son muy estrictos y no enseñan muy bien', ' .', 'es lograr algo grande que me haga sentir orgulloso, aunque aún no sé exactamente qué', '.', 'Intento ser claro y respetuoso, esperando que las personas comprendan el propósito detrás de lo que pido.']","['Que no pueda terminar mi carrera', 'No hubiera ocurrido el fallecimiento de dos personas a las que quise mucho ', '.', 'Juntarme con personas que de alguna manera me hacían daño ', 'Salir de mi zona de confort ', 'Contestarle muy feo a mis papás ', 'Encontrar estabilidad, ser feliz con lo que hago y tener relaciones significativas.', 'No hacer algo que quiero ', 'Haber tenido un aborto ']","['.', 'Es hipócrita ', '.', 'Quiero que me vean como jefa pero también como un apoyo para ellos cuando lo necesiten ', 'Son las personas que saben ser leales', 'Son fuertes, inteligentes y capaces, aunque a veces la sociedad no les da el lugar que merecen', 'Me aseguraría de que fuera en el momento adecuado y con la persona correcta', 'Tengan ganas de salir adelante y que no nos veamos cómo rivales si no como un equipo ', 'Son aquellas que no solo tienen autoridad, sino también sabiduría, empatía y un buen ejemplo que seguir.\n', 'A veces me extrañan, pero otras veces no se dan cuenta de que no estoy.\n', 'Es cuando generalizan o juzgan sin conocer bien la situación, aunque eso también aplica a los hombres.', '.']",0.0,0.58,0.0,0.033,0.214,0.524,0.214,0.214,0.056,0.557,0.056,0.144,0.125,0.552,0.125,0.142
8,19,Estudiante,Tlaxcala ,"['Se enoja conmigo ', 'No siempre es unida ', 'Es la persona a la que más confianza le tengo ', 'Quiere lo mejor para mí, aunque a veces le cuesta demostrarlo con palabras.', 'Alguien valioso, aunque a veces no siempre entienden lo que siento o pienso.', 'Tenemos una relación muy linda ', 'Pase más tiempo conmigo ', 'Son muy unidas ', 'Hacen lo mejor que pueden por sus hijos, aunque no siempre se les reconoce todo el esfuerzo que hacen.', 'Un gran ejemplo a seguir ', 'Me consentía mucho', 'A veces se enoja mucho']","['.', 'Me esforzaría por ser un líder justo, que escucha, motiva y respeta a los demás.', 'Son muy estrictos y no enseñan muy bien', ' .', 'es lograr algo grande que me haga sentir orgulloso, aunque aún no sé exactamente qué', '.', 'Intento ser claro y respetuoso, esperando que las personas comprendan el propósito detrás de lo que pido.']","['Que no pueda terminar mi carrera', 'No hubiera ocurrido el fallecimiento de dos personas a las que quise mucho ', '.', 'Juntarme con personas que de alguna manera me hacían daño ', 'Salir de mi zona de confort ', 'Contestarle muy feo a mis papás ', 'Encontrar estabilidad, ser feliz con lo que hago y tener relaciones significativas.', 'No hacer algo que quiero ', 'Haber tenido un aborto ']","['.', 'Es hipócrita ', '.', 'Quiero que me vean como jefa pero también como un apoyo para ellos cuando lo necesiten ', 'Son las personas que saben ser leales', 'Son fuertes, inteligentes y capaces, aunque a veces la sociedad no les da el lugar que merecen', 'Me aseguraría de que fuera en el momento adecuado y con la persona correcta', 'Tengan ganas de salir adelante y que no nos veamos cómo rivales si no como un equipo ', 'Son aquellas que no solo tienen autoridad, sino también sabiduría, empatía y un buen ejemplo que seguir.\n', 'A veces me extrañan, pero otras veces no se dan cuenta de que no estoy.\n', 'Es cuando generalizan o juzgan sin conocer bien la situación, aunque eso también aplica a los hombres.', '.']",0.0,0.581,0.0,0.033,0.214,0.52,0.214,0.214,0.056,0.559,0.056,0.144,0.125,0.53,0.125,0.142
9,50,Estudiante,Tlaxcala,"['Es sta', 'Linda', 'Un ángel maravilloso ', 'Es gruñon', 'Hija', 'Son mis un gran equipo la amo', 'Deje de ser tan gruñon ', 'Buenas', 'X', 'Maravilloso ', 'Era bonita', 'Es manipulable ']","['Con todos', 'Seria más sonriente ', 'Bueos', 'Buenos', 'Ser  un sanador', 'Me  alegra verlo', 'Trata de ser amable ']","['Al tiempo', 'Pudiera sanar a todos ', 'A la tormenta ', 'Dejar de estudiar', 'La muerte trajica', 'Nada', 'Vivo en paz', 'Repites mucho ', 'Perder el tiempo']","['Aveces se equivocan', 'No es humilde ', 'Son únicas ', 'Seria feliz ', 'Es la alegre', 'Únicas ', 'X', 'X', 'Repites mucho tus preguntas ', 'Me extrañasn', 'Es ', 'Son buenos ']",0.0,0.562,0.0,0.117,0.0,0.595,0.0,0.171,0.0,0.576,0.0,0.156,0.0,0.629,0.0,0.067
9,50,Estudiante,Tlaxcala,"['Es sta', 'Linda', 'Un ángel maravilloso ', 'Es gruñon', 'Hija', 'Son mis un gran equipo la amo', 'Deje de ser tan gruñon ', 'Buenas', 'X', 'Maravilloso ', 'Era bonita', 'Es manipulable ']","['Con todos', 'Seria más sonriente ', 'Bueos', 'Buenos', 'Ser  un sanador', 'Me  alegra verlo', 'Trata de ser amable ']","['Al tiempo', 'Pudiera sanar a todos ', 'A la tormenta ', 'Dejar de estudiar', 'La muerte trajica', 'Nada', 'Vivo en paz', 'Repites mucho ', 'Perder el tiempo']","['Aveces se equivocan', 'No es humilde ', 'Son únicas ', 'Seria feliz ', 'Es la alegre', 'Únicas ', 'X', 'X', 'Repites mucho tus preguntas ', 'Me extrañasn', 'Es ', 'Son buenos ']",0.0,0.598,0.0,0.117,0.0,0.592,0.0,0.171,0.0,0.589,0.0,0.161,0.0,0.654,0.0,0.067
10,18,Estudiante ,Tlaxcala ,"['Muestra sus sentimientos ', 'está mal', 'está loca ', 'piensa en el dinero ', 'si no perteneciera ', 'tenemos una relación hipócrita ', 'me entendiera ', 'tienen secretos y son hipócritas', 'no saben amar ', 'una persona triste ', 'parecía ser bonita ', 'no me gusta cómo es ']","['con todos ', 'sería porque tengo la capacidad de dirigirlos correctamente ', 'están tristes ', 'raras', 'hacerme muy rica ', 'me pongo nerviosa ', 'trato de no parecer mandona ']","['vivir en la pobreza ', 'nos pudiéramos comunicar sin decir una sola palabra ', 'su rechazo', 'hacerle caso a los demás', 'hablar ', 'ser gorda ', 'tener tiempo ', 'no hacer nada ', 'mentir ']","['deben tener mi respeto', 'engaña ', 'estamos en el mundo por una razón más allá de lo mundano ', 'deberá ser muy capaz ', 'es la más honesta ', 'son bonitas ', 'me daría miedo', 'piense igual que yo', 'deben tener mi respeto', 'viven ', 'es la rivalidad que tienen ', 'se enoja conmigo ']",0.0,0.594,0.0,0.067,0.0,0.508,0.0,0.086,0.0,0.573,0.0,0.2,0.0,0.55,0.0,0.067
10,18,Estudiante ,Tlaxcala ,"['Muestra sus sentimientos ', 'está mal', 'está loca ', 'piensa en el dinero ', 'si no perteneciera ', 'tenemos una relación hipócrita ', 'me entendiera ', 'tienen secretos y son hipócritas', 'no saben amar ', 'una persona triste ', 'parecía ser bonita ', 'no me gusta cómo es ']","['con todos ', 'sería porque tengo la capacidad de dirigirlos correctamente ', 'están tristes ', 'raras', 'hacerme muy rica ', 'me pongo nerviosa ', 'trato de no parecer mandona ']","['vivir en la pobreza ', 'nos pudiéramos comunicar sin decir una sola palabra ', 'su rechazo', 'hacerle caso a los demás', 'hablar ', 'ser gorda ', 'tener tiempo ', 'no hacer nada ', 'mentir ']","['deben tener mi respeto', 'engaña ', 'estamos en el mundo por una razón más allá de lo mundano ', 'deberá ser muy capaz ', 'es la más honesta ', 'son bonitas ', 'me daría miedo', 'piense igual que yo', 'deben tener mi respeto', 'viven ', 'es la rivalidad que tienen ', 'se enoja conmigo ']",0.0,0.588,0.0,0.067,0.0,0.517,0.0,0.086,0.0,0.6,0.0,0.2,0.0,0.557,0.0,0.067
